,Armond Review,Tomatometer Review,Tomatometer Score,Quote,Publication Name,Movie,Date
0,rotten,certified-fresh,94.0,"Because Nolan’s politics are always obscure, it’s good that his filmmaking is so slick, yet laborious, convoluted, and enervating. Otherwise, a perverse amoral epic like Oppenheimer might be dangerous.",National Review,Oppenheimer,"Jul 21, 2023"
1,rotten,certified-fresh,88.0,"Frantic, uncheerful, and graceless, Barbie symbolizes a culture that devalues childhood and goodness.",National Review,Barbie,"Jul 20, 2023"
2,rotten,certified-fresh,96.0,"Reducing cinema to gimmicky sensationalism is regressive, especially when McQuarrie’s repetition is this witlessly conventional. ",National Review,"Mission: Impossible - Dead Reckoning, Part One","Jul 14, 2023"
3,rotten,certified-fresh,78.0,The Lesson is an appalling example of our moral decay.,National Review,The Lesson,"Jul 14, 2023"
4,rotten,fresh,69.0,The thrill is gone. Not that Raiders absolutists can tell the difference. Mangold and co-producer Kathleen Kennedy cater to misplaced nostalgia.,National Review,Indiana Jones and the Dial of Destiny,"Jul 01, 2023"
5,rotten,certified-fresh,82.0,"It's incredible that Anderson, by imitating Robert Altman's 1993 Short Cuts so blatantly, and lengthily, has received such high praise.",New York Press,Magnolia,"Jun 29, 2023"
6,fresh,fresh,65.0,"Picture Warren Beatty’s 1970s political sex farce Shampoo, updated to contemporary France, and you’d get something very like Alain Guiraudie’s Nobody’s Hero. ",National Review,Nobody's Hero,"Jun 24, 2023"
7,fresh,certified-fresh,74.0,"Despite these stunt characterizations and fussy narrative tricks, Anderson retrieves the signature farcical context that once felt profoundly personal.",National Review,Asteroid City,"Jun 17, 2023"
8,fresh,certified-fresh,83.0,Don’t smirk at the idea of Lynch/Oz. The Wizard of Oz could influence Lynch’s straight-faced surrealism because it taught him how to communicate the personal dreams and fears we share. We’re in earnest need of that insight.,National Review,Lynch/Oz,"Jun 13, 2023"
9,rotten,rotten,29.0,"Ferrara collaborates with LaBeouf on a profound subject and in a period setting but fails to serve his usual mission. Padre Pio becomes a work of deluded, semi-improvisational navel-gazing.",National Review,Padre Pio,"Jun 02, 2023"
10,fresh,fresh,97.0,"One hour is long enough for this arch experimentation, and sometimes Will-o’-the-Wisp gets awfully obscure. But no other film this year (or this decade) has been so visually witty or unconventionally bold. ",National Review,Will-o'-the-Wisp,"May 31, 2023"
11,rotten,fresh,67.0,Disney transforms its 1989 animated version of Andersen’s story in such a way that its enchantment is deracinated. More care has gone into aquarium-style realism than into considering what the fantasy of otherness means. ,National Review,The Little Mermaid,"May 26, 2023"
12,rotten,fresh,71.0,"Schrader’s feeble, derivative, politically disengaged filmmaking goes back to the worst of the Seventies.",National Review,Master Gardener,"May 26, 2023"
13,fresh,rotten,40.0,"This new political reality allows Uggams to translate her own personal career wisdom and frustration, giving Dotty & Soul more gravity than Saunders probably intended.",National Review,Dotty & Soul,"May 20, 2023"
14,fresh,fresh,75.0,"In Winter Boy, Lucas’s spiritual search provides answers to sexual chaos that TikTok addicts don’t know are possible.",National Review,Winter Boy,"May 06, 2023"
15,rotten,fresh,64.0,"White Noise pretends to depict America in the middle of a waking nightmare, but it’s a privileged person’s nightmare.",National Review,White Noise,"Apr 27, 2023"
16,rotten,certified-fresh,95.0,The eccentricity that made Little Richard one of the most fascinating and dynamic performers of all time overwhelms Cortés’s enthusiasm and the misguided revisionism she has structured around it.,National Review,Little Richard: I Am Everything,"Apr 24, 2023"
17,rotten,certified-fresh,94.0,"This sociopathic filmmaking is the opposite of Eli Roth’s The Green Inferno, the rare movie to satirize progressive zealots.",National Review,How to Blow Up a Pipeline,"Apr 14, 2023"
18,rotten,certified-fresh,93.0,"It is a peculiar mixture of admiration and cupidity, sincerity and deviousness, replete with smart-ass dialogue.",National Review,Air,"Apr 13, 2023"
19,fresh,certified-fresh,91.0,Everything Went Fine is a near-great film examining our responses to the emotional complexities that occur in family life.,National Review,Everything Went Fine,"Apr 07, 2023"
20,rotten,certified-fresh,88.0,"Yes, the film is heartrending, but no more so than a progressive’s version of Bambi.",National Review,Tori and Lokita,"Mar 31, 2023"
21,rotten,fresh,67.0,Loach reduces his protest cinema to cheap nostalgia. ,National Review,The Spirit of '45,"Mar 30, 2023"
22,fresh,certified-fresh,94.0,"Chapter 4 is a triumph of consistent style -- a rare distinction among blockbusters usually dependent on conventional, imitative effects. ",National Review,John Wick: Chapter 4,"Mar 24, 2023"
23,fresh,fresh,100.0,"Not only is Full River Red the clearest adversarial statement to ever come out of China, it’s also -- startlingly -- the first movie of 2023 with great feeling in it.",National Review,Full River Red,"Mar 22, 2023"
24,rotten,rotten,35.0,65 might be the first film ever based on a movie poster. Its unoriginality and witlessness follow the blatancy of most contemporary content.,National Review,65,"Mar 17, 2023"
25,rotten,fresh,64.0,"Aronofsky uses The Whale for easy, unsightly, virtue-signaling.",National Review,The Whale,"Mar 15, 2023"
26,rotten,rotten,46.0,Rock’s slap-back at Smith revives the insecurity and evident immaturity that characterized their altercation. (Both men misbehaved.) Selective Outrage provides no helpful insight into the temperamental differences that erupted at last year’s Oscars.,National Review,Chris Rock: Selective Outrage,"Mar 08, 2023"
27,rotten,certified-fresh,88.0,"Imprisoned by industry formula, Jordan cannot rise above its patronizing clichés.",National Review,Creed III,"Mar 03, 2023"
28,rotten,certified-fresh,80.0,Rivette’s dry approach to improvisation and fantasy negates the kind of joy that his collaborators Labourier and Berto mean to have. ,CityArts,Celine and Julie Go Boating,"Mar 01, 2023"
29,fresh,rotten,26.0,"This isn’t disrespect so much as a leveling. Marlowe is Jordan’s look at cultural cynicism, linking Joyce to Chandler and to the many Dr. Faustuses of Hollywood itself.",National Review,Marlowe,"Feb 23, 2023"
30,rotten,rotten,48.0,"Last Dance goes narrowly and cynically into post-indie, corporate Hollywood clichés. Soderbergh’s desperation shows a filmmaker who recycles a formula and, like a tired stripper lacking conviction, repeats the old motions. ",National Review,Magic Mike's Last Dance,"Feb 23, 2023"
31,fresh,certified-fresh,98.0,"There’s no grandstanding in Calamy’s Julie or in writer-director Éric Gravel’s presentation of her responsible resourcefulness... Julie’s authenticity avoids social correctness; she achieves plain, recognizable motherhood.",National Review,Full Time,"Feb 10, 2023"
32,rotten,certified-fresh,94.0,Saint Omer becomes a high-brow tearjerker. No man born of woman can resist this snake oil. ,National Review,Saint Omer,"Jan 20, 2023"
33,fresh,certified-fresh,82.0,"They’re second-generation lost romantics, ruined liberals. Guadagnino’s allegory details the self-destruction at the heart of teens’ untutored idealism.",National Review,Bones and All,"Jan 13, 2023"
34,rotten,rotten,57.0,Wunderkind Chazelle seriously needs artistic supervision. Babylon is the first Millennial film so misguided that it seems hell-bent on destroying itself. ,National Review,Babylon,"Jan 13, 2023"
35,rotten,certified-fresh,76.0,"The Way of Water is predicated on an escapist mindset that prevents moviegoers from thinking (or expressing dissatisfaction). When a film like this is sold for its 3D, 48-frames-per-second High Dynamic Range teachnology, protect your credit card.",National Review,Avatar: The Way of Water,"Jan 05, 2023"
36,fresh,rotten,53.0,Dead for a Dollar distills Western mythology to its fabled essence. The morality of Borlund’s life-or-death decisions is movie history that ironically echoes modern America.,National Review,Dead for a Dollar,"Dec 30, 2022"
37,rotten,certified-fresh,94.0,This is one of the year’s most dismaying and repellent movies.,National Review,Decision to Leave,"Dec 29, 2022"
38,rotten,certified-fresh,96.0,The director doesn’t do much to relieve misery or our current existential crisis. That’s why The Banshees of Inisherin feels like both an X-ray of contemporary malaise and a betrayal of Irish romance.,National Review,The Banshees of Inisherin,"Dec 28, 2022"
39,rotten,certified-fresh,81.0,Devotion -- despite that title -- does not offer [Top Gun] Maverick’s patriotic uplift. It’s stuck between uncovering Brown’s victimization and deflating American valor.,National Review,Devotion,"Dec 14, 2022"
40,rotten,rotten,45.0,The problem is Mendes’s inherent shallowness -- he’s the British Mike Nichols.,National Review,Empire of Light,"Dec 13, 2022"
41,rotten,certified-fresh,96.0,EO shows us that film culture is going through a jaded second childhood.,National Review,EO,"Dec 06, 2022"
42,rotten,certified-fresh,90.0,He’s memorialized as an artist-activist and significant only for that. The doc is angled toward how Oprah wants us to see Poitier and herself.,National Review,Sidney,"Nov 23, 2022"
43,rotten,certified-fresh,88.0,"What a freakishly long, humorless, and bizarre movie. ",National Review,She Said,"Nov 19, 2022"
44,rotten,certified-fresh,92.0,"The Fabelmans seems to hedge its dramatic risks, as if muting the heartache and thousand natural shocks that marriage and adulthood are heir to, then trading that guilty consciousness for facile teasing about Spielberg’s career and professional legend. ",National Review,The Fabelmans,"Nov 17, 2022"
45,rotten,certified-fresh,83.0,Has any other social group ever had its history diminished to comic-book trivia and then encouraged to take that insult as a compliment?,National Review,Black Panther: Wakanda Forever,"Nov 11, 2022"
