,Unnamed: 0,Armond Review,Tomatometer Review,Tomatometer Score,Quote,Publication Name,Movie,Date,Genres
0,0,rotten,certified-fresh,94.0,"Because Nolan’s politics are always obscure, it’s good that his filmmaking is so slick, yet laborious, convoluted, and enervating. Otherwise, a perverse amoral epic like Oppenheimer might be dangerous.",National Review,Oppenheimer,2023-07-21,"['Drama', 'History']"
1,1,rotten,certified-fresh,88.0,"Frantic, uncheerful, and graceless, Barbie symbolizes a culture that devalues childhood and goodness.",National Review,Barbie,2023-07-20,"['Comedy', 'Adventure', 'Fantasy']"
2,2,rotten,certified-fresh,96.0,"Reducing cinema to gimmicky sensationalism is regressive, especially when McQuarrie’s repetition is this witlessly conventional. ",National Review,"Mission: Impossible - Dead Reckoning, Part One",2023-07-14,"['Thriller', 'Action', 'Adventure', 'Science Fiction']"
3,3,rotten,certified-fresh,78.0,The Lesson is an appalling example of our moral decay.,National Review,The Lesson,2023-07-14,"['Drama', 'Thriller']"
4,4,rotten,fresh,69.0,The thrill is gone. Not that Raiders absolutists can tell the difference. Mangold and co-producer Kathleen Kennedy cater to misplaced nostalgia.,National Review,Indiana Jones and the Dial of Destiny,2023-07-01,"['Adventure', 'Action', 'Fantasy']"
5,5,rotten,certified-fresh,82.0,"It's incredible that Anderson, by imitating Robert Altman's 1993 Short Cuts so blatantly, and lengthily, has received such high praise.",New York Press,Magnolia,2023-06-29,['Drama']
6,6,fresh,fresh,65.0,"Picture Warren Beatty’s 1970s political sex farce Shampoo, updated to contemporary France, and you’d get something very like Alain Guiraudie’s Nobody’s Hero. ",National Review,Nobody's Hero,2023-06-24,['Drama']
7,7,fresh,certified-fresh,74.0,"Despite these stunt characterizations and fussy narrative tricks, Anderson retrieves the signature farcical context that once felt profoundly personal.",National Review,Asteroid City,2023-06-17,"['Drama', 'Comedy']"
8,8,fresh,certified-fresh,83.0,Don’t smirk at the idea of Lynch/Oz. The Wizard of Oz could influence Lynch’s straight-faced surrealism because it taught him how to communicate the personal dreams and fears we share. We’re in earnest need of that insight.,National Review,Lynch/Oz,2023-06-13,['Documentary']
9,9,rotten,rotten,29.0,"Ferrara collaborates with LaBeouf on a profound subject and in a period setting but fails to serve his usual mission. Padre Pio becomes a work of deluded, semi-improvisational navel-gazing.",National Review,Padre Pio,2023-06-02,['Drama']
10,10,fresh,fresh,97.0,"One hour is long enough for this arch experimentation, and sometimes Will-o’-the-Wisp gets awfully obscure. But no other film this year (or this decade) has been so visually witty or unconventionally bold. ",National Review,Will-o'-the-Wisp,2023-05-31,"['Music', 'Comedy', 'Romance']"
11,11,rotten,fresh,67.0,Disney transforms its 1989 animated version of Andersen’s story in such a way that its enchantment is deracinated. More care has gone into aquarium-style realism than into considering what the fantasy of otherness means. ,National Review,The Little Mermaid,2023-05-26,"['Adventure', 'Romance', 'Fantasy', 'Family']"
12,12,rotten,fresh,71.0,"Schrader’s feeble, derivative, politically disengaged filmmaking goes back to the worst of the Seventies.",National Review,Master Gardener,2023-05-26,"['Drama', 'Thriller']"
13,13,fresh,rotten,40.0,"This new political reality allows Uggams to translate her own personal career wisdom and frustration, giving Dotty & Soul more gravity than Saunders probably intended.",National Review,Dotty & Soul,2023-05-20,['Comedy']
14,14,fresh,fresh,75.0,"In Winter Boy, Lucas’s spiritual search provides answers to sexual chaos that TikTok addicts don’t know are possible.",National Review,Winter Boy,2023-05-06,['Drama']
15,15,rotten,fresh,64.0,"White Noise pretends to depict America in the middle of a waking nightmare, but it’s a privileged person’s nightmare.",National Review,White Noise,2023-04-27,"['Drama', 'Comedy', 'Science Fiction']"
16,16,rotten,certified-fresh,95.0,The eccentricity that made Little Richard one of the most fascinating and dynamic performers of all time overwhelms Cortés’s enthusiasm and the misguided revisionism she has structured around it.,National Review,Little Richard: I Am Everything,2023-04-24,"['Music', 'Documentary']"
17,17,rotten,certified-fresh,94.0,"This sociopathic filmmaking is the opposite of Eli Roth’s The Green Inferno, the rare movie to satirize progressive zealots.",National Review,How to Blow Up a Pipeline,2023-04-14,"['Crime', 'Drama', 'Thriller']"
18,18,rotten,certified-fresh,93.0,"It is a peculiar mixture of admiration and cupidity, sincerity and deviousness, replete with smart-ass dialogue.",National Review,Air,2023-04-13,"['Drama', 'History']"
19,19,fresh,certified-fresh,91.0,Everything Went Fine is a near-great film examining our responses to the emotional complexities that occur in family life.,National Review,Everything Went Fine,2023-04-07,"['Drama', 'Comedy']"
20,20,rotten,certified-fresh,88.0,"Yes, the film is heartrending, but no more so than a progressive’s version of Bambi.",National Review,Tori and Lokita,2023-03-31,['Drama']
21,21,rotten,fresh,67.0,Loach reduces his protest cinema to cheap nostalgia. ,National Review,The Spirit of '45,2023-03-30,['Documentary']
22,22,fresh,certified-fresh,94.0,"Chapter 4 is a triumph of consistent style -- a rare distinction among blockbusters usually dependent on conventional, imitative effects. ",National Review,John Wick: Chapter 4,2023-03-24,"['Crime', 'Action', 'Thriller']"
23,23,fresh,fresh,100.0,"Not only is Full River Red the clearest adversarial statement to ever come out of China, it’s also -- startlingly -- the first movie of 2023 with great feeling in it.",National Review,Full River Red,2023-03-22,"['Mystery', 'Comedy', 'History', 'Thriller']"
